,Metadata_broad_sample,average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
0,BRD-A12994259-001-11-9,0.04106362361483655,0.9062756589709817,0.15510805573466535,0.8093656459629254,False,False
1,BRD-A22769835-300-05-7,0.02949657787694289,0.7371724563741756,0.20866180591683403,0.6805570382252922,False,False
2,BRD-A53576514-048-02-8,0.1833019774514587,1.8467672393591694,0.024630426177077995,1.6085280735546437,True,True
3,BRD-A87435144-001-01-6,0.07866485866907745,1.2000965414540357,0.0860205138355199,1.0653979675565795,False,False
4,BRD-K00818915-001-02-9,0.1897562890307287,1.634259226799138,0.038689179793076275,1.4124104771827817,True,True
5,BRD-K01826510-001-09-9,0.0746827293059189,1.203795426104545,0.0860205138355199,1.0653979675565795,False,False
6,BRD-K02965346-001-01-8,0.5669190336953494,3.4896952559873062,0.0008831476417261096,3.053966686425869,True,True
7,BRD-K03063480-001-08-9,0.5808469308469308,3.6694886035933827,0.0006421443284455774,3.19236734887372,True,True
8,BRD-K04923131-001-17-9,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
9,BRD-K06182768-001-02-3,0.06298017376306836,1.0434655940183093,0.11974792666723146,0.9217319972852207,False,False
10,BRD-K06883221-001-02-9,0.019429886518556976,0.48005127627440747,0.3425089942822585,0.46532801945370117,False,False
11,BRD-K09372874-001-02-9,0.9791666666666666,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
12,BRD-K12511835-003-03-9,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
13,BRD-K12737986-001-01-4,0.021220867930195873,0.5700386713838737,0.2849606628525232,0.5452150876588415,False,False
14,BRD-K13094524-001-10-9,0.3121456916099773,2.377040615124375,0.008394394601174733,2.076010619460394,True,True
15,BRD-K13606314-001-02-9,0.025234957122206355,0.5739454505898459,0.2849606628525232,0.5452150876588415,False,False
16,BRD-K16189898-001-26-9,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
17,BRD-K16803204-001-02-9,0.08756656601770453,1.3813400009812875,0.062337769398457234,1.2052487419256062,True,False
18,BRD-K17953061-001-05-1,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
19,BRD-K19477839-001-10-9,0.03347491551772617,0.7624960301930435,0.20195553206377687,0.6947442459262004,False,False
20,BRD-K19871656-001-01-3,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
21,BRD-K20290250-001-03-9,0.23227378321476105,2.0185227836911612,0.018349399992438436,1.7363781321875538,True,True
22,BRD-K21728777-001-03-9,1.0,4.000043427276863,0.00042852857571385724,3.368020212571457,True,True
23,BRD-K23383398-001-08-1,0.10109245761912145,1.3417254586616714,0.06717183550278238,1.1728127842331135,True,False
24,BRD-K24600306-003-02-9,0.054628432982736806,1.0225652227428108,0.12383066236675783,0.9071718040407413,False,False
25,BRD-K24696047-001-03-9,0.3877640021656237,2.7961489901957957,0.003426448658976784,2.4651557711543712,True,True
26,BRD-K25433859-003-03-1,0.021027320115483174,0.5484995885961458,0.2959678036170671,0.5287555304003886,False,False
27,BRD-K25611237-001-09-9,0.08349364926550511,1.269574131676896,0.07803270972373913,1.1077233117358252,False,False
28,BRD-K28936863-051-14-0,0.024263594207216976,0.6243390482243905,0.2575285418507866,0.5891746311611396,False,False
